size,text
890,屍速列車
633,你的名字
511,美國隊長3
386,自殺突擊隊
274,奇異博士
259,蝙蝠俠對超人
243,樓下的房客
180,怒
179,動物方城市
166,神鬼獵人
137,厲陰宅2
134,會計師
133,怪獸與牠們的產地
126,六弄咖啡館
126,地獄
109,我就要你好好的
106,鋼鐵英雄
105,魔鬼剋星
93,樂來越愛你
92,丹麥女孩
92,正宗哥吉拉
89,驚爆焦點
88,寒戰2
85,比利林恩的中場戰事
83,下女的誘惑
81,出神入化2
78,哭聲
78,十年
77,怪奇孤兒院
76,薩利機長
74,失控謊言
70,單身動物園
61,不存在的房間
59,單身啪啪啪
56,八惡人
56,飛躍奇蹟
56,金錢怪獸
53,葉問3
53,因為愛你
52,大尾鱸鰻2
52,海底總動員2
51,大賣空
49,星際過客
49,暫時停止呼吸
47,師父
46,走音天后
44,極樂宿舍
40,歡樂好聲音
39,怒火地平線
38,怪物來敲門
38,再見瓦城
38,寵物當家
38,鬼關燈
37,與森林共舞
37,天才無限家
34,全面攻佔2
33,荷魯斯之眼
33,如果這世界貓消失了
32,科洛弗10號地窖
32,X戰警:天啟
32,比海還深
31,13小時
31,新世紀福爾摩斯
31,絕命救援
30,最美的安排
30,刺客教條
30,五星級魚干女
30,帝國戰神
29,非死不可
29,絕鯊島
28,長城
28,魔獸:崛起
28,玩命直播
27,夜行動物
27,史帝夫賈伯斯
27,賓漢
27,危城
26,假會徵信社
26,BJ有喜
26,使徒行者
25,腸腸搞轟趴
25,摩天樓
25,超狂亨利
23,一萬公里的約定
23,黑白
22,一路順風
22,只要我長大
22,阿公歐買尬
22,死期大公開
22,我的蛋男情人
22,完美陌生人
21,被遺忘的新娘
21,泰山傳奇
21,神鬼認證5
20,擺渡人
20,神廚
20,功夫熊貓3
20,搖滾青春戀習曲
20,明天別再來敲門
